index,gender,age,country of origin,months in europe,months in france,who with in calais,family in europe,european family,dublin applied,feel safe in calais,experienced tear gas or violence by french police
123,Male,21.0,Sudan,8.0,7.0,Alone,No,,,"No, I don't feel safe",Yes
124,Male,21.0,Eritrea,5.0,4.0,Alone,No,,,"No, I don't feel safe",Yes
125,Female,21.0,Ethiopia,11.0,9.0,With friends,No,,,"No, I don't feel safe at all",Yes
126,Male,22.0,Afghanistan,18.0,0.0,Alone,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe",No
127,Male,22.0,Eritrea,14.0,12.0,With friends,No,,,"No, I don't feel safe",Yes
128,Male,22.0,Palestine,24.0,3.0,Alone,No,,,"No, I don't feel safe at all",Yes
129,Male,22.0,Pakistan,84.0,2.0,Alone,No,,,"No, I don't feel safe at all",Yes
130,Female,22.0,Ethiopia,15.0,10.0,With friends,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe",Yes
131,Female,22.0,Ethiopia,11.0,8.0,Alone,No,,,"No, I don't feel safe",No
132,Male,23.0,Sudan,8.0,7.0,Alone,No,,,"No, I don't feel safe",
133,Male,23.0,Eritrea,2.0,,Alone,Yes,United Kingdom,"No, I didn't apply","Yes, I feel perfectly safe",No
134,Male,23.0,Ethiopia,24.0,23.0,Alone,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe at all",Yes
135,Male,23.0,Eritrea,2014.0,2014.0,Alone,No,,,"No, I don't feel safe at all",Yes
136,Female,23.0,Eritrea,3.0,3.0,Alone,,,,"No, I don't feel safe at all",Yes
137,Male,23.0,Sudan,18.0,17.0,Alone,No,,,"No, I don't feel safe at all",Yes
138,Male,23.0,Eritrea,5.0,4.0,Alone,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe",Yes
139,Female,23.0,Eritrea,3.0,3.0,Alone,No,,,"No, I don't feel safe at all",Yes
140,Male,23.0,Ethiopia,24.0,12.0,Alone,Yes,,,"No, I don't feel safe at all",Yes
141,Male,23.0,Ethiopia,17.0,17.0,Alone,Yes,United Kingdom,I applied but my application was refused,So-so,Yes
142,Male,23.0,Eritrea,13.0,12.0,Alone,No,,,"No, I don't feel safe",Yes
143,Male,23.0,Sudan,5.0,4.0,Alone,No,,,"No, I don't feel safe",Yes
144,Male,24.0,Afghanistan,72.0,1.0,Alone,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe at all",Yes
145,Male,24.0,Sudan,5.0,4.0,Alone,No,,,"No, I don't feel safe",Yes
146,Male,24.0,Sudan,20.0,18.0,With friends,Yes,United Kingdom,"Yes, I applied but did not receive any result","No, I don't feel safe at all",Yes
147,Male,24.0,Egypt,,2.0,Alone,Yes,United Kingdom,"No, I didn't apply",So-so,Yes
148,Male,24.0,Eritrea,24.0,24.0,Alone,No,,,"No, I don't feel safe",Yes
149,Male,24.0,Sudan,11.0,10.0,Alone,No,,,"No, I don't feel safe",Yes
150,Male,24.0,Ethiopia,15.0,11.0,With friends,No,,,"No, I don't feel safe at all",Yes
151,Female,24.0,Ethiopia (Oromo),8.0,8.0,Alone,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe at all",No
152,Female,24.0,Ethiopia,,6.0,Alone,Yes,France,"Yes, I applied but did not receive any result","No, I don't feel safe",Yes
153,Male,25.0,Iran,20.0,3.0,Alone,No,,,"Yes, I feel perfectly safe",No
154,Male,25.0,Ethiopia,14.0,2.0,With friends,No,,,"No, I don't feel safe at all",Yes
155,Male,25.0,Sudan,7.0,6.0,Alone,No,,,"No, I don't feel safe at all",Yes
156,Female,25.0,Eritrea,8.0,8.0,Alone,Yes,United Kingdom,I applied but my application was refused,"No, I don't feel safe at all",No
157,Male,25.0,Sudan,8.0,4.0,With friends,No,,,So-so,Yes
158,Male,25.0,Sudan,21.0,12.0,Alone,No,,,"No, I don't feel safe",Yes
159,Male,25.0,Sudan,24.0,19.0,Alone,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe",Yes
160,Male,25.0,Sudan,18.0,17.0,Alone,No,,,"No, I don't feel safe",Yes
161,Male,25.0,Eritrea,16.0,15.0,Alone,No,,,"No, I don't feel safe",Yes
162,Male,25.0,Eritrea,12.0,11.0,Alone,No,,,"No, I don't feel safe",Yes
163,Male,25.0,Eritrea,12.0,11.0,With friends,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe at all",Yes
164,Male,25.0,Ethiopia,6.0,3.0,With friends,No,,,"No, I don't feel safe at all",No
165,Male,26.0,Pakistan,36.0,1.0,With friends,No,,,"No, I don't feel safe at all",Yes
166,Male,26.0,Sudan,5.0,4.0,Alone,No,,,"No, I don't feel safe",Yes
167,Male,26.0,Sudan,8.0,8.0,Alone,No,,,"Yes, I feel safe",Yes
168,Male,26.0,Sudan,19.0,18.0,Alone,No,,,"No, I don't feel safe at all",Yes
169,Male,26.0,Sudan,19.0,18.0,Alone,No,,,"No, I don't feel safe",Yes
170,Male,26.0,,10.0,10.0,With family,Yes,Germany,"No, I didn't apply","Yes, I feel perfectly safe",No
171,Male,27.0,Eritrea,1.0,1.0,With friends,No,,,So-so,No
172,Male,27.0,Ethiopia,12.0,11.0,Alone,No,,,"No, I don't feel safe",Yes
173,Female,27.0,Eritrea,12.0,12.0,With family,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe at all",Yes
174,Male,27.0,Eritrea,14.0,13.0,Alone,Yes,United Kingdom,"No, I didn't apply",So-so,Yes
175,Male,27.0,Sudan,16.0,15.0,Alone,No,,,"No, I don't feel safe at all",No
176,Male,27.0,Sudan,18.0,17.0,Alone,No,,,"No, I don't feel safe",Yes
177,Male,27.0,Sudan,6.0,5.0,Alone,No,,,"No, I don't feel safe",Yes
178,Male,27.0,Eritrea,2.0,1.0,Alone,No,,,"No, I don't feel safe",Yes
179,Male,27.0,Eritrea,36.0,36.0,With friends,Yes,United Kingdom,"No, I didn't apply","Yes, I feel perfectly safe",No
180,Male,27.0,Iraq (Kurdish),36.0,3.0,With friends,No,,,"No, I don't feel safe",Yes
181,Female,27.0,Ethiopia (Oromo),6.0,6.0,Alone,No,,,"No, I don't feel safe",Yes
182,Male,28.0,Pakistan,12.0,11.0,With friends,No,,,"Yes, I feel perfectly safe",No
183,Male,28.0,Sudan,3.0,2.0,Alone,No,,,"No, I don't feel safe at all",Yes
184,Male,28.0,Sudan,20.0,19.0,Alone,No,,,"No, I don't feel safe",Yes
185,Male,28.0,Afghanistan,24.0,8.0,Alone,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe at all",Yes
186,Female,28.0,Ethiopia (Oromo),6.0,5.0,Alone,No,,,"No, I don't feel safe",Yes
187,Male,29.0,Ethiopia,2.0,2.0,Alone,No,,,"No, I don't feel safe at all",No
188,Male,29.0,Ethiopia,23.0,22.0,Alone,No,,,"No, I don't feel safe at all",Yes
